filename,width,height,class,xmin,ymin,xmax,ymax
9569.jpg,640,480,robot,331,13,510,301
9568.jpg,640,480,robot,331,13,510,301
9567.jpg,640,480,robot,330,17,514,301
9566.jpg,640,480,robot,330,17,514,301
9565.jpg,640,480,robot,328,17,522,305
9564.jpg,640,480,robot,328,17,522,305
9563.jpg,640,480,robot,322,5,526,322
9562.jpg,640,480,robot,322,5,526,322
9561.jpg,640,480,robot,321,3,531,325
9560.jpg,640,480,robot,321,3,531,325
9559.jpg,640,480,robot,320,7,532,321
9558.jpg,640,480,robot,320,7,532,321
9557.jpg,640,480,robot,326,3,532,324
9556.jpg,640,480,robot,326,3,532,324
9555.jpg,640,480,robot,328,0,535,325
9554.jpg,640,480,robot,328,0,535,325
9553.jpg,640,480,robot,342,14,529,308
9552.jpg,640,480,robot,342,14,529,308
9551.jpg,640,480,robot,339,8,554,317
9550.jpg,640,480,robot,339,8,554,317
9549.jpg,640,480,robot,341,6,554,321
9548.jpg,640,480,robot,341,6,554,321
9547.jpg,640,480,robot,349,1,550,324
9546.jpg,640,480,robot,349,1,550,324
9545.jpg,640,480,robot,352,6,551,318
9544.jpg,640,480,robot,352,6,551,318
9543.jpg,640,480,robot,353,6,554,319
9542.jpg,640,480,robot,353,6,554,319
9541.jpg,640,480,robot,351,6,557,320
9540.jpg,640,480,robot,351,6,557,320
9539.jpg,640,480,robot,351,8,557,320
9538.jpg,640,480,robot,351,8,557,320
9537.jpg,640,480,robot,349,4,552,323
9522.jpg,640,480,robot,360,10,543,326
9521.jpg,640,480,robot,369,12,543,321
9520.jpg,640,480,robot,369,12,543,321
9519.jpg,640,480,robot,372,12,547,318
9518.jpg,640,480,robot,372,12,547,318
9517.jpg,640,480,robot,376,12,552,313
9516.jpg,640,480,robot,376,12,552,313
9515.jpg,640,480,robot,379,17,557,310
9514.jpg,640,480,robot,379,17,557,310
9513.jpg,640,480,robot,383,18,560,310
9512.jpg,640,480,robot,383,18,560,310
9511.jpg,640,480,robot,385,15,564,311
9510.jpg,640,480,robot,385,15,564,311
9509.jpg,640,480,robot,385,15,566,309
9508.jpg,640,480,robot,385,15,566,309
9507.jpg,640,480,robot,386,15,566,308
9506.jpg,640,480,robot,386,15,566,308
9505.jpg,640,480,robot,391,12,565,308
9504.jpg,640,480,robot,391,12,565,308
9503.jpg,640,480,robot,391,9,567,310
9502.jpg,640,480,robot,391,9,567,310
9501.jpg,640,480,robot,393,8,568,310
9500.jpg,640,480,robot,393,8,568,310
9499.jpg,640,480,robot,392,5,569,311
9498.jpg,640,480,robot,392,5,569,311
9497.jpg,640,480,robot,392,5,569,310
9496.jpg,640,480,robot,392,5,569,310
9495.jpg,640,480,robot,393,6,568,310
9494.jpg,640,480,robot,393,6,568,310
9493.jpg,640,480,robot,393,5,568,311
9492.jpg,640,480,robot,393,5,568,311
9491.jpg,640,480,robot,394,4,568,313
9490.jpg,640,480,robot,394,4,568,313
9489.jpg,640,480,robot,394,3,568,314
9488.jpg,640,480,robot,394,3,568,314
9487.jpg,640,480,robot,393,1,568,316
9486.jpg,640,480,robot,393,1,568,316
9485.jpg,640,480,robot,393,0,568,318
9484.jpg,640,480,robot,393,0,568,318
9483.jpg,640,480,robot,393,0,569,318
9482.jpg,640,480,robot,393,0,569,318
9481.jpg,640,480,robot,392,0,570,320
9480.jpg,640,480,robot,392,0,570,320
9479.jpg,640,480,robot,392,0,570,321
9478.jpg,640,480,robot,392,0,570,321
9477.jpg,640,480,robot,393,3,569,314
9476.jpg,640,480,robot,393,3,569,314
9475.jpg,640,480,robot,395,5,568,309
9474.jpg,640,480,robot,395,5,568,309
9473.jpg,640,480,robot,395,5,568,309
9472.jpg,640,480,robot,395,5,568,309
9471.jpg,640,480,robot,392,3,568,312
9470.jpg,640,480,robot,392,3,568,312
9469.jpg,640,480,robot,394,1,569,314
9468.jpg,640,480,robot,394,1,569,314
9467.jpg,640,480,robot,394,4,569,312
9466.jpg,640,480,robot,394,4,569,312
9465.jpg,640,480,robot,393,5,568,313
9464.jpg,640,480,robot,393,5,568,313
9463.jpg,640,480,robot,394,2,569,314
9462.jpg,640,480,robot,394,2,569,314
9461.jpg,640,480,robot,393,0,571,316
9460.jpg,640,480,robot,393,0,571,316
9459.jpg,640,480,robot,394,1,571,316
9458.jpg,640,480,robot,394,1,571,316
9457.jpg,640,480,robot,395,3,572,316
9456.jpg,640,480,robot,395,3,572,316
9455.jpg,640,480,robot,396,6,571,314
9454.jpg,640,480,robot,396,6,571,314
9453.jpg,640,480,robot,395,7,570,315
9452.jpg,640,480,robot,395,7,570,315
9451.jpg,640,480,robot,393,7,566,313
9450.jpg,640,480,robot,393,7,566,313
9441.jpg,640,480,robot,399,3,567,318
9440.jpg,640,480,robot,399,3,567,318
9439.jpg,640,480,robot,396,12,572,304
9438.jpg,640,480,robot,396,12,572,304
9437.jpg,640,480,robot,396,11,571,304
9436.jpg,640,480,robot,396,11,571,304
9435.jpg,640,480,robot,396,10,571,304
9434.jpg,640,480,robot,396,10,571,304
9433.jpg,640,480,robot,396,9,572,306
9432.jpg,640,480,robot,396,9,572,306
9431.jpg,640,480,robot,397,10,571,305
9430.jpg,640,480,robot,397,10,571,305
9429.jpg,640,480,robot,397,10,570,304
9428.jpg,640,480,robot,397,10,570,304
9427.jpg,640,480,robot,397,10,570,303
9426.jpg,640,480,robot,397,10,570,303
9425.jpg,640,480,robot,396,10,569,304
9424.jpg,640,480,robot,396,10,569,304
9423.jpg,640,480,robot,395,8,570,305
9422.jpg,640,480,robot,395,8,570,305
9421.jpg,640,480,robot,395,7,570,309
9420.jpg,640,480,robot,395,7,570,309
9419.jpg,640,480,robot,398,7,570,309
9418.jpg,640,480,robot,398,7,570,309
9417.jpg,640,480,robot,398,8,568,310
9416.jpg,640,480,robot,398,8,568,310
9415.jpg,640,480,robot,398,6,569,311
9414.jpg,640,480,robot,398,6,569,311
