filename,width,height,class,xmin,ymin,xmax,ymax
8585.jpg,640,480,robot,299,27,464,398
1565608355775851912.jpg,640,480,robot,54,45,219,414
5384.jpg,640,480,robot,330,59,493,406
0086.jpg,640,480,robot,111,73,242,343
8845.jpg,640,480,robot,463,0,598,360
1565608779944528275.jpg,640,480,robot,426,33,575,361
7478.jpg,640,480,robot,290,21,480,393
8490.jpg,640,480,robot,252,29,416,382
1565609152039977780.jpg,640,480,robot,352,13,441,220
0171.jpg,640,480,robot,409,115,600,464
1565609188639954257.jpg,640,480,robot,498,39,604,245
4315.jpg,640,480,robot,410,67,636,439
2132.jpg,640,480,robot,398,76,580,402
1565608604412691028.jpg,640,480,robot,2,0,81,418
1565608352843802633.jpg,640,480,robot,137,45,273,414
1263.jpg,640,480,robot,281,150,344,311
1565609222375647945.jpg,640,480,robot,286,0,517,380
1342.jpg,640,480,robot,124,105,202,269
1565609140175967398.jpg,640,480,robot,463,184,552,399
0205.jpg,640,480,robot,196,69,337,333
1565608345307637161.jpg,640,480,robot,236,39,369,424
1565609203107982858.jpg,640,480,robot,450,58,547,286
1565608491775898362.jpg,640,480,robot,412,54,556,386
1544.jpg,640,480,robot,270,186,492,471
sequences_euro_ball_robot_1_a_00088.png,800,600,robot,701,261,800,314
8139.jpg,640,480,robot,281,0,417,356
3284.jpg,640,480,robot,309,80,415,388
1565608492640198345.jpg,640,480,robot,408,47,550,390
9121.jpg,640,480,robot,205,31,406,380
1565608490743879492.jpg,640,480,robot,382,49,535,410
1565609264816333593.jpg,640,480,robot,492,219,586,415
6412.jpg,640,480,robot,552,84,639,387
1565608611044188519.jpg,640,480,robot,1,0,73,411
1565608666577806684.jpg,640,480,robot,25,0,146,379
1565609190375773010.jpg,640,480,robot,520,101,626,298
5348.jpg,640,480,robot,324,71,490,398
0250.jpg,640,480,robot,262,87,451,456
6434.jpg,640,480,robot,577,64,638,400
0918.jpg,640,480,robot,319,57,599,480
1846.jpg,640,480,robot,338,39,483,395
1565608761277576319.jpg,640,480,robot,4,1,117,380
1565608473207396746.jpg,640,480,robot,0,0,81,442
1565609212976147454.jpg,640,480,robot,100,83,200,366
1588.jpg,640,480,robot,390,135,554,480
frame0057.png,640,360,robot,564,168,622,268
3176.jpg,640,480,robot,128,69,278,435
6194.jpg,640,480,robot,455,87,555,376
0181.jpg,640,480,robot,392,94,584,470
1565609113880936339.jpg,640,480,robot,309,0,399,379
1565608561476064663.jpg,640,480,robot,302,0,425,401
3909.jpg,640,480,robot,359,72,494,389
sequences_euro_ball_robot_1_a_00095.png,800,600,robot,745,261,800,310
1565609138004350499.jpg,640,480,robot,323,159,425,339
1565609294915498447.jpg,640,480,robot,232,66,331,346
1565608679377496588.jpg,640,480,robot,148,0,257,377
6633.jpg,640,480,robot,285,95,487,450
1565608557409844665.jpg,640,480,robot,57,32,212,379
2015.jpg,640,480,robot,272,41,423,376
1565609220007944074.jpg,640,480,robot,303,26,526,455
1565609268548110098.jpg,640,480,robot,296,81,360,268
1565608658910877528.jpg,640,480,robot,238,0,338,370
1565609269548854413.jpg,640,480,robot,372,22,431,216
3859.jpg,640,480,robot,321,82,504,450
4786.jpg,640,480,robot,357,51,517,432
frame0199.png,640,360,robot,587,64,640,176
1565609280132603178.jpg,640,480,robot,154,74,255,361
1565608599543283854.jpg,640,480,robot,114,25,264,360
3315.jpg,640,480,robot,278,77,381,391
5342.jpg,640,480,robot,299,72,459,401
1565608469844131977.jpg,640,480,robot,8,24,177,407
1565608462731877083.jpg,640,480,robot,189,35,358,401
0919.jpg,640,480,robot,312,62,596,480
3257.jpg,640,480,robot,300,36,433,427
1565609162739806411.jpg,640,480,robot,344,99,434,302
1565608467843892355.jpg,640,480,robot,77,31,250,398
1565608494507855237.jpg,640,480,robot,510,0,625,425
frame0515.png,640,360,robot,104,52,155,165
3421.jpg,640,480,robot,10,17,198,460
1565609107840082066.jpg,640,480,robot,309,0,399,359
1565609289783401766.jpg,640,480,robot,186,104,278,386
1565608483807359754.jpg,640,480,robot,10,60,180,416
1170.jpg,640,480,robot,253,9,362,184
5703.jpg,640,480,robot,254,82,443,466
2422.jpg,640,480,robot,323,203,429,474
1565608770311256485.jpg,640,480,robot,74,34,213,353
7077.jpg,640,480,robot,313,48,485,452
1565609253371851131.jpg,640,480,robot,164,0,392,377
1565609167376177529.jpg,640,480,robot,529,112,598,305
